it,current,target,prediction,correct
14,9,1,46947,0,0.0000
23,4,6,1,0,0.0000
31,3,5,1,0,0.0000
40,4,1,1,1,0.0000
49,4,6,1,0,0.0000
57,8,0,31027,0,0.0000
66,9,6,1,0,0.0000
75,4,6,30480,0,0.0000
84,9,6,30480,0,0.0000
93,4,1,30480,0,0.0000
101,3,0,30480,0,0.0000
110,4,6,30480,0,0.0000
119,9,1,30480,0,0.0000
127,8,0,30480,0,0.0000
136,4,1,30480,0,0.0000
144,8,0,30480,0,0.0000
153,4,1,30480,0,0.0000
161,3,0,30480,0,0.0000
170,4,6,30480,0,0.0000
179,4,6,30480,0,0.0000
187,3,5,30480,0,0.0000
196,4,1,30480,0,0.0000
205,9,6,30480,0,0.0000
213,8,5,30480,0,0.0000
221,8,0,30480,0,0.0000
230,9,1,30480,0,0.0000
239,9,6,30480,0,0.0000
247,3,5,30480,0,0.0000
255,3,0,30480,0,0.0000
263,3,5,30480,0,0.0000
272,9,1,30480,0,0.0000
281,4,1,30480,0,0.0000
290,9,6,30480,0,0.0000
299,9,6,30480,0,0.0000
308,4,1,30480,0,0.0000
317,4,6,30480,0,0.0000
325,3,5,7016,0,0.0000
334,4,1,30480,0,0.0000
343,4,1,30480,0,0.0000
352,9,6,30480,0,0.0000
361,9,6,30480,0,0.0000
370,9,6,30480,0,0.0000
379,4,1,30480,0,0.0000
387,8,5,30480,0,0.0000
396,9,6,30480,0,0.0000
404,8,0,7016,0,0.0000
413,4,1,30480,0,0.0000
422,4,6,30480,0,0.0000
430,3,5,30480,0,0.0000
438,8,5,7016,0,0.0000
447,9,1,30480,0,0.0000
455,8,5,7016,0,0.0000
464,4,6,30480,0,0.0000
473,9,1,30480,0,0.0000
481,3,0,7016,0,0.0000
489,8,5,7016,0,0.0000
498,9,1,30480,0,0.0000
506,3,0,7016,0,0.0000
514,3,5,30480,0,0.0000
522,3,5,30480,0,0.0000
531,4,6,30480,0,0.0000
539,3,5,30480,0,0.0000
548,4,6,30480,0,0.0000
556,8,5,13249,0,0.0000
565,4,1,30480,0,0.0000
573,8,0,30480,0,0.0000
581,3,0,24189,0,0.0000
590,4,1,30480,0,0.0000
598,3,5,24189,0,0.0000
607,4,1,30480,0,0.0000
616,4,1,30480,0,0.0000
624,8,0,24189,0,0.0000
633,4,1,30480,0,0.0000
642,4,6,30480,0,0.0000
650,3,0,24189,0,0.0000
659,9,1,30480,0,0.0000
667,8,0,7016,0,0.0000
676,4,6,30480,0,0.0000
684,3,5,7016,0,0.0000
693,9,1,24189,0,0.0000
701,3,5,7016,0,0.0000
710,4,6,30480,0,0.0000
718,3,0,24189,0,0.0000
727,4,1,30480,0,0.0000
735,3,5,30480,0,0.0000
744,4,1,30480,0,0.0000
752,3,5,24189,0,0.0000
761,9,6,30480,0,0.0000
769,3,5,7016,0,0.0000
778,4,1,30480,0,0.0000
786,3,0,30480,0,0.0000
795,4,1,30480,0,0.0000
804,4,1,30480,0,0.0000
813,4,1,30480,0,0.0000
821,8,0,24189,0,0.0000
829,3,5,7016,0,0.0000
838,4,1,30480,0,0.0000
847,4,1,30480,0,0.0000
855,8,5,24189,0,0.0000
863,3,0,24189,0,0.0000
871,8,5,24189,0,0.0000
879,3,0,24189,0,0.0000
887,3,5,24189,0,0.0000
895,8,0,24189,0,0.0000
903,3,0,24189,0,0.0000
912,9,6,30480,0,0.0000
921,4,6,30480,0,0.0000
930,9,1,24189,0,0.0000
938,3,0,7016,0,0.0000
947,9,1,30480,0,0.0000
956,4,1,30480,0,0.0000
965,9,1,30480,0,0.0000
974,9,1,24189,0,0.0000
982,8,5,24189,0,0.0000
990,8,5,24189,0,0.0000
999,9,1,24189,0,0.0000
1007,8,0,5,0,110.3463
1016,4,6,1,0,83.2638
1025,9,1,6,0,73.1432
1034,9,1,6,0,68.0276
